DeliveryDate,HourEnding,AncillaryType,MCPC,DSTFlag
12/02/2025,23:00,REGUP,1.7,N
12/02/2025,23:00,REGDN,0.56,N
12/02/2025,24:00,ECRS,0.88,N
12/02/2025,24:00,NSPIN,1,N
12/02/2025,24:00,RRS,1.06,N
12/02/2025,24:00,REGUP,1.35,N
12/02/2025,24:00,REGDN,0.66,N
12/03/2025,01:00,ECRS,0.27,N
12/03/2025,01:00,REGDN,0.99,N
12/03/2025,01:00,REGUP,0.87,N
12/03/2025,01:00,NSPIN,0.4,N
12/03/2025,01:00,RRS,0.4,N
12/03/2025,02:00,ECRS,0.19,N
12/03/2025,02:00,NSPIN,0.3,N
12/03/2025,02:00,RRS,0.3,N
12/03/2025,02:00,REGUP,0.77,N
12/03/2025,02:00,REGDN,1,N
12/03/2025,03:00,NSPIN,0.5,N
12/03/2025,03:00,ECRS,0.3,N
12/03/2025,03:00,RRS,0.3,N
12/03/2025,03:00,REGDN,1.31,N
12/03/2025,03:00,REGUP,0.66,N
12/03/2025,04:00,ECRS,0.1,N
12/03/2025,04:00,NSPIN,0.5,N
12/03/2025,04:00,RRS,0.25,N
12/03/2025,04:00,REGUP,0.74,N
12/03/2025,04:00,REGDN,1.01,N
12/03/2025,05:00,ECRS,0.19,N
12/03/2025,05:00,RRS,0.25,N
12/03/2025,05:00,NSPIN,0.5,N
12/03/2025,05:00,REGUP,0.72,N
12/03/2025,05:00,REGDN,0.93,N
12/03/2025,06:00,ECRS,0.4,N
12/03/2025,06:00,REGDN,1.3,N
12/03/2025,06:00,REGUP,1.04,N
12/03/2025,06:00,RRS,0.4,N
12/03/2025,06:00,NSPIN,0.69,N
12/03/2025,07:00,ECRS,0.88,N
12/03/2025,07:00,REGDN,0.96,N
12/03/2025,07:00,REGUP,0.85,N
12/03/2025,07:00,RRS,0.88,N
12/03/2025,07:00,NSPIN,4.33,N
12/03/2025,08:00,ECRS,3,N
12/03/2025,08:00,NSPIN,8.33,N
12/03/2025,08:00,RRS,11.34,N
12/03/2025,08:00,REGUP,11.34,N
12/03/2025,08:00,REGDN,2.06,N
12/03/2025,09:00,ECRS,3,N
12/03/2025,09:00,REGDN,6.24,N
12/03/2025,09:00,REGUP,7.58,N
12/03/2025,09:00,RRS,7.23,N
12/03/2025,09:00,NSPIN,4.34,N
12/03/2025,10:00,ECRS,1.2,N
12/03/2025,10:00,NSPIN,1.25,N
12/03/2025,10:00,RRS,1.2,N
12/03/2025,10:00,REGDN,1.61,N
12/03/2025,10:00,REGUP,1.76,N
12/03/2025,11:00,NSPIN,1.33,N
12/03/2025,11:00,ECRS,0.63,N
12/03/2025,11:00,RRS,0.63,N
12/03/2025,11:00,REGDN,1.36,N
12/03/2025,11:00,REGUP,1.2,N
12/03/2025,12:00,ECRS,0.3,N
12/03/2025,12:00,RRS,0.3,N
12/03/2025,12:00,NSPIN,1,N
12/03/2025,12:00,REGUP,0.54,N
12/03/2025,12:00,REGDN,1.32,N
12/03/2025,13:00,ECRS,0.17,N
12/03/2025,13:00,NSPIN,1.01,N
12/03/2025,13:00,RRS,0.17,N
12/03/2025,13:00,REGUP,0.55,N
12/03/2025,13:00,REGDN,1.07,N
12/03/2025,14:00,ECRS,0.25,N
12/03/2025,14:00,NSPIN,1.01,N
12/03/2025,14:00,RRS,0.25,N
12/03/2025,14:00,REGUP,1.61,N
12/03/2025,14:00,REGDN,1.27,N
12/03/2025,15:00,ECRS,0.41,N
12/03/2025,15:00,NSPIN,1.06,N
12/03/2025,15:00,RRS,0.41,N
12/03/2025,15:00,REGUP,1.21,N
12/03/2025,15:00,REGDN,1.16,N
12/03/2025,16:00,NSPIN,1,N
12/03/2025,16:00,ECRS,0.44,N
12/03/2025,16:00,RRS,0.44,N
12/03/2025,16:00,REGDN,1.54,N
12/03/2025,16:00,REGUP,1.8,N
12/03/2025,17:00,ECRS,1.22,N
12/03/2025,17:00,NSPIN,1.92,N
12/03/2025,17:00,RRS,1.22,N
12/03/2025,17:00,REGUP,1.2,N
12/03/2025,17:00,REGDN,1.69,N
12/03/2025,18:00,ECRS,10.8,N
12/03/2025,18:00,RRS,10.8,N
12/03/2025,18:00,NSPIN,10.8,N
12/03/2025,18:00,REGUP,11.07,N
12/03/2025,18:00,REGDN,2.55,N
12/03/2025,19:00,NSPIN,6.84,N
12/03/2025,19:00,ECRS,5,N
12/03/2025,19:00,RRS,5,N
12/03/2025,19:00,REGDN,1.52,N
12/03/2025,19:00,REGUP,5,N
12/03/2025,20:00,ECRS,5.22,N
12/03/2025,20:00,NSPIN,5.76,N
12/03/2025,20:00,RRS,5.22,N
12/03/2025,20:00,REGDN,1.5,N
12/03/2025,20:00,REGUP,6.03,N
12/03/2025,21:00,ECRS,3,N
12/03/2025,21:00,NSPIN,5,N
12/03/2025,21:00,RRS,4.84,N
12/03/2025,21:00,REGUP,4.84,N
12/03/2025,21:00,REGDN,1.2,N
12/03/2025,22:00,NSPIN,4.62,N
12/03/2025,22:00,ECRS,1,N
12/03/2025,22:00,RRS,4.62,N
12/03/2025,22:00,REGDN,1.12,N
12/03/2025,22:00,REGUP,4.9,N
12/03/2025,23:00,ECRS,0.86,N
12/03/2025,23:00,NSPIN,0.97,N
12/03/2025,23:00,RRS,1,N
12/03/2025,23:00,REGUP,1.84,N
12/03/2025,23:00,REGDN,0.84,N
12/03/2025,24:00,ECRS,0.86,N
12/03/2025,24:00,NSPIN,0.97,N
12/03/2025,24:00,RRS,1,N
12/03/2025,24:00,REGUP,1.55,N
12/03/2025,24:00,REGDN,1,N
12/04/2025,01:00,ECRS,0.17,N
12/04/2025,01:00,REGUP,0.71,N
12/04/2025,01:00,REGDN,0.78,N
12/04/2025,01:00,RRS,0.24,N
12/04/2025,01:00,NSPIN,0.5,N
12/04/2025,02:00,ECRS,0.09,N
12/04/2025,02:00,REGDN,0.47,N
12/04/2025,02:00,REGUP,0.38,N
12/04/2025,02:00,RRS,0.22,N
12/04/2025,02:00,NSPIN,0.35,N
12/04/2025,03:00,ECRS,0.11,N
12/04/2025,03:00,NSPIN,0.69,N
12/04/2025,03:00,RRS,0.19,N
12/04/2025,03:00,REGUP,0.76,N
12/04/2025,03:00,REGDN,1,N
12/04/2025,04:00,ECRS,0.09,N
12/04/2025,04:00,NSPIN,0.69,N
12/04/2025,04:00,RRS,0.19,N
12/04/2025,04:00,REGUP,0.71,N
12/04/2025,04:00,REGDN,0.94,N
12/04/2025,05:00,NSPIN,0.5,N
12/04/2025,05:00,ECRS,0.09,N
12/04/2025,05:00,RRS,0.19,N
12/04/2025,05:00,REGDN,1.04,N
12/04/2025,05:00,REGUP,0.73,N
12/04/2025,06:00,ECRS,0.19,N
12/04/2025,06:00,REGDN,0.77,N
12/04/2025,06:00,REGUP,0.78,N
12/04/2025,06:00,RRS,0.28,N
12/04/2025,06:00,NSPIN,0.5,N
12/04/2025,07:00,ECRS,0.44,N
12/04/2025,07:00,REGDN,0.84,N
12/04/2025,07:00,REGUP,1.12,N
12/04/2025,07:00,RRS,0.44,N
12/04/2025,07:00,NSPIN,1,N
12/04/2025,08:00,ECRS,0.49,N
12/04/2025,08:00,NSPIN,1,N
12/04/2025,08:00,RRS,0.49,N
12/04/2025,08:00,REGUP,1.6,N
12/04/2025,08:00,REGDN,0.78,N
12/04/2025,09:00,ECRS,0.64,N
12/04/2025,09:00,RRS,0.64,N
12/04/2025,09:00,NSPIN,1.01,N
12/04/2025,09:00,REGUP,1.14,N
12/04/2025,09:00,REGDN,2.21,N
12/04/2025,10:00,ECRS,0.49,N
12/04/2025,10:00,REGDN,1.74,N
12/04/2025,10:00,REGUP,1.2,N
12/04/2025,10:00,RRS,0.49,N
12/04/2025,10:00,NSPIN,1.36,N
12/04/2025,11:00,ECRS,0.44,N
12/04/2025,11:00,NSPIN,1.2,N
12/04/2025,11:00,RRS,0.44,N
12/04/2025,11:00,REGUP,1.16,N
12/04/2025,11:00,REGDN,1.88,N
12/04/2025,12:00,ECRS,0.19,N
12/04/2025,12:00,REGDN,1.8,N
12/04/2025,12:00,REGUP,0.51,N
12/04/2025,12:00,RRS,0.19,N
12/04/2025,12:00,NSPIN,1.1,N
12/04/2025,13:00,ECRS,0.19,N
12/04/2025,13:00,NSPIN,1.2,N
12/04/2025,13:00,RRS,0.19,N
12/04/2025,13:00,REGDN,1.52,N
12/04/2025,13:00,REGUP,0.73,N
12/04/2025,14:00,NSPIN,1.2,N
12/04/2025,14:00,ECRS,0.34,N
12/04/2025,14:00,RRS,0.34,N
12/04/2025,14:00,REGDN,1.56,N
12/04/2025,14:00,REGUP,1.23,N
12/04/2025,15:00,ECRS,0.41,N
12/04/2025,15:00,RRS,0.41,N
12/04/2025,15:00,NSPIN,1.36,N
12/04/2025,15:00,REGUP,1.58,N
12/04/2025,15:00,REGDN,1.27,N
12/04/2025,16:00,RRS,0.44,N
12/04/2025,16:00,REGUP,2.1,N
12/04/2025,16:00,REGDN,1.68,N
12/04/2025,16:00,ECRS,0.44,N
12/04/2025,16:00,NSPIN,1.35,N
12/04/2025,17:00,ECRS,0.5,N
12/04/2025,17:00,REGDN,1.33,N
12/04/2025,17:00,REGUP,2.62,N
12/04/2025,17:00,NSPIN,7.6,N
12/04/2025,17:00,RRS,0.5,N
12/04/2025,18:00,NSPIN,19.64,N
12/04/2025,18:00,ECRS,0.84,N
12/04/2025,18:00,RRS,0.84,N
12/04/2025,18:00,REGDN,2.39,N
12/04/2025,18:00,REGUP,2,N
12/04/2025,19:00,ECRS,0.89,N
12/04/2025,19:00,RRS,0.89,N
12/04/2025,19:00,NSPIN,10,N
12/04/2025,19:00,REGUP,0.83,N
12/04/2025,19:00,REGDN,4.28,N
12/04/2025,20:00,ECRS,9.59,N
12/04/2025,20:00,REGDN,5,N
12/04/2025,20:00,REGUP,12.67,N
12/04/2025,20:00,RRS,9.59,N
12/04/2025,20:00,NSPIN,28.48,N
12/04/2025,21:00,ECRS,22.43,N
12/04/2025,21:00,REGDN,6.38,N
12/04/2025,21:00,REGUP,23.38,N
12/04/2025,21:00,RRS,22.43,N
12/04/2025,21:00,NSPIN,39.91,N
12/04/2025,22:00,ECRS,24.17,N
12/04/2025,22:00,REGDN,1.71,N
12/04/2025,22:00,REGUP,24.82,N
12/04/2025,22:00,RRS,24.17,N
12/04/2025,22:00,NSPIN,41.82,N
12/04/2025,23:00,ECRS,4.98,N
12/04/2025,23:00,NSPIN,12.66,N
12/04/2025,23:00,RRS,12.66,N
12/04/2025,23:00,REGUP,13.5,N
12/04/2025,23:00,REGDN,1.2,N
12/04/2025,24:00,ECRS,7.42,N
12/04/2025,24:00,NSPIN,7.48,N
12/04/2025,24:00,RRS,7.5,N
12/04/2025,24:00,REGUP,8.07,N
12/04/2025,24:00,REGDN,1.26,N
12/05/2025,01:00,ECRS,0.84,N
12/05/2025,01:00,REGDN,2.2,N
12/05/2025,01:00,REGUP,3.44,N
12/05/2025,01:00,NSPIN,21,N
12/05/2025,01:00,RRS,4.99,N
12/05/2025,02:00,ECRS,0.19,N
12/05/2025,02:00,NSPIN,18,N
12/05/2025,02:00,RRS,1.48,N
12/05/2025,02:00,REGUP,2.78,N
12/05/2025,02:00,REGDN,2.44,N
12/05/2025,03:00,NSPIN,24.56,N
12/05/2025,03:00,ECRS,0.78,N
12/05/2025,03:00,RRS,1.29,N
12/05/2025,03:00,REGDN,1.59,N
12/05/2025,03:00,REGUP,1.65,N
12/05/2025,04:00,ECRS,0.13,N
12/05/2025,04:00,NSPIN,23.2,N
12/05/2025,04:00,RRS,3,N
12/05/2025,04:00,REGUP,3.61,N
12/05/2025,04:00,REGDN,2.17,N
12/05/2025,05:00,ECRS,0.37,N
12/05/2025,05:00,RRS,1.84,N
12/05/2025,05:00,NSPIN,24.23,N
12/05/2025,05:00,REGUP,2.34,N
12/05/2025,05:00,REGDN,1.12,N
12/05/2025,06:00,ECRS,0.86,N
12/05/2025,06:00,REGDN,1.74,N
12/05/2025,06:00,REGUP,2.28,N
12/05/2025,06:00,RRS,1.77,N
12/05/2025,06:00,NSPIN,34.64,N
12/05/2025,07:00,ECRS,0.88,N
12/05/2025,07:00,REGDN,2.8,N
12/05/2025,07:00,REGUP,28.99,N
12/05/2025,07:00,RRS,35.32,N
12/05/2025,07:00,NSPIN,43.79,N
12/05/2025,08:00,ECRS,4.49,N
12/05/2025,08:00,NSPIN,49.04,N
12/05/2025,08:00,RRS,30,N
12/05/2025,08:00,REGUP,26.54,N
12/05/2025,08:00,REGDN,1.89,N
12/05/2025,09:00,ECRS,14.41,N
12/05/2025,09:00,REGDN,7.27,N
12/05/2025,09:00,REGUP,14.84,N
12/05/2025,09:00,RRS,14.41,N
12/05/2025,09:00,NSPIN,37.38,N
12/05/2025,10:00,ECRS,8.86,N
12/05/2025,10:00,NSPIN,28.51,N
12/05/2025,10:00,RRS,8.86,N
12/05/2025,10:00,REGDN,6.75,N
12/05/2025,10:00,REGUP,9.42,N
12/05/2025,11:00,NSPIN,14,N
12/05/2025,11:00,ECRS,2.75,N
12/05/2025,11:00,RRS,2.85,N
12/05/2025,11:00,REGDN,2.48,N
12/05/2025,11:00,REGUP,3.32,N
12/05/2025,12:00,ECRS,0.37,N
12/05/2025,12:00,RRS,1.32,N
12/05/2025,12:00,NSPIN,10,N
12/05/2025,12:00,REGUP,1.58,N
12/05/2025,12:00,REGDN,1.75,N
12/05/2025,13:00,ECRS,0.09,N
12/05/2025,13:00,NSPIN,14,N
12/05/2025,13:00,RRS,1,N
12/05/2025,13:00,REGUP,1.74,N
12/05/2025,13:00,REGDN,2.03,N
12/05/2025,14:00,ECRS,0.89,N
12/05/2025,14:00,NSPIN,14,N
12/05/2025,14:00,RRS,1,N
12/05/2025,14:00,REGUP,2.01,N
12/05/2025,14:00,REGDN,1.96,N
12/05/2025,15:00,ECRS,1.87,N
12/05/2025,15:00,NSPIN,14.99,N
12/05/2025,15:00,RRS,1.87,N
12/05/2025,15:00,REGUP,2.61,N
12/05/2025,15:00,REGDN,1.65,N
12/05/2025,16:00,NSPIN,17,N
12/05/2025,16:00,ECRS,3,N
12/05/2025,16:00,RRS,3,N
12/05/2025,16:00,REGDN,2.63,N
12/05/2025,16:00,REGUP,3.9,N
12/05/2025,17:00,ECRS,13.28,N
12/05/2025,17:00,NSPIN,53.37,N
12/05/2025,17:00,RRS,13.28,N
12/05/2025,17:00,REGUP,14.12,N
12/05/2025,17:00,REGDN,7.07,N
12/05/2025,18:00,ECRS,37.7,N
12/05/2025,18:00,RRS,37.7,N
12/05/2025,18:00,NSPIN,77.86,N
12/05/2025,18:00,REGUP,34.09,N
12/05/2025,18:00,REGDN,3.46,N
12/05/2025,19:00,NSPIN,64.49,N
12/05/2025,19:00,ECRS,24.96,N
12/05/2025,19:00,RRS,24.96,N
12/05/2025,19:00,REGDN,12.78,N
12/05/2025,19:00,REGUP,24.96,N
12/05/2025,20:00,ECRS,15,N
12/05/2025,20:00,NSPIN,62.06,N
12/05/2025,20:00,RRS,15,N
12/05/2025,20:00,REGDN,3.12,N
12/05/2025,20:00,REGUP,15.32,N
12/05/2025,21:00,ECRS,21.26,N
12/05/2025,21:00,NSPIN,56.22,N
12/05/2025,21:00,RRS,21.26,N
12/05/2025,21:00,REGUP,21.26,N
12/05/2025,21:00,REGDN,4.24,N
12/05/2025,22:00,NSPIN,48.24,N
12/05/2025,22:00,ECRS,15.76,N
12/05/2025,22:00,RRS,15.76,N
12/05/2025,22:00,REGDN,3.22,N
12/05/2025,22:00,REGUP,15.76,N
12/05/2025,23:00,ECRS,0.84,N
12/05/2025,23:00,NSPIN,13.69,N
12/05/2025,23:00,RRS,13.89,N
12/05/2025,23:00,REGUP,12.65,N
12/05/2025,23:00,REGDN,1.24,N
12/05/2025,24:00,ECRS,0.7,N
12/05/2025,24:00,NSPIN,3,N
12/05/2025,24:00,RRS,11.89,N
12/05/2025,24:00,REGUP,12.08,N
12/05/2025,24:00,REGDN,2,N
12/06/2025,01:00,ECRS,3,N
12/06/2025,01:00,REGUP,6.86,N
12/06/2025,01:00,REGDN,2.83,N
12/06/2025,01:00,RRS,5.05,N
12/06/2025,01:00,NSPIN,6.7,N
12/06/2025,02:00,ECRS,2.82,N
12/06/2025,02:00,REGDN,2.4,N
12/06/2025,02:00,REGUP,6.21,N
12/06/2025,02:00,RRS,4.75,N
12/06/2025,02:00,NSPIN,7.7,N
12/06/2025,03:00,ECRS,0.98,N
12/06/2025,03:00,NSPIN,6.68,N
12/06/2025,03:00,RRS,2.5,N
12/06/2025,03:00,REGUP,4.6,N
12/06/2025,03:00,REGDN,1.6,N
12/06/2025,04:00,ECRS,0.86,N
12/06/2025,04:00,NSPIN,8.46,N
12/06/2025,04:00,RRS,2.41,N
12/06/2025,04:00,REGUP,4.75,N
12/06/2025,04:00,REGDN,3.2,N
12/06/2025,05:00,NSPIN,9.71,N
12/06/2025,05:00,ECRS,0.88,N
12/06/2025,05:00,RRS,2.41,N
12/06/2025,05:00,REGDN,2.11,N
12/06/2025,05:00,REGUP,2.91,N
12/06/2025,06:00,ECRS,3.1,N
12/06/2025,06:00,REGDN,0.05,N
12/06/2025,06:00,REGUP,5.23,N
12/06/2025,06:00,RRS,4,N
12/06/2025,06:00,NSPIN,14.85,N
12/06/2025,07:00,ECRS,10,N
12/06/2025,07:00,REGDN,0.02,N
12/06/2025,07:00,REGUP,18.99,N
12/06/2025,07:00,RRS,18.33,N
12/06/2025,07:00,NSPIN,22.64,N
12/06/2025,08:00,ECRS,21.89,N
12/06/2025,08:00,NSPIN,22.64,N
12/06/2025,08:00,RRS,23.44,N
12/06/2025,08:00,REGUP,22.66,N
12/06/2025,08:00,REGDN,0.01,N
12/06/2025,09:00,ECRS,12.97,N
12/06/2025,09:00,RRS,12.97,N
12/06/2025,09:00,NSPIN,12.97,N
12/06/2025,09:00,REGUP,12.97,N
12/06/2025,09:00,REGDN,8.26,N
12/06/2025,10:00,ECRS,5.75,N
12/06/2025,10:00,NSPIN,5.08,N
12/06/2025,10:00,RRS,5.75,N
12/06/2025,10:00,REGUP,6.69,N
12/06/2025,10:00,REGDN,3,N
12/06/2025,11:00,ECRS,5,N
12/06/2025,11:00,NSPIN,5,N
12/06/2025,11:00,RRS,5,N
12/06/2025,11:00,REGUP,6.01,N
12/06/2025,11:00,REGDN,5.86,N
12/06/2025,12:00,REGUP,4.35,N
12/06/2025,12:00,ECRS,3,N
12/06/2025,12:00,REGDN,3.99,N
12/06/2025,12:00,RRS,3.81,N
12/06/2025,12:00,NSPIN,3.81,N
12/06/2025,13:00,ECRS,0.98,N
12/06/2025,13:00,NSPIN,3,N
12/06/2025,13:00,REGDN,2.61,N
12/06/2025,13:00,REGUP,2.84,N
12/06/2025,13:00,RRS,2.34,N
12/06/2025,14:00,REGDN,3.11,N
12/06/2025,14:00,REGUP,2.6,N
12/06/2025,14:00,RRS,1.56,N
12/06/2025,14:00,NSPIN,2.65,N
12/06/2025,14:00,ECRS,1.61,N
12/06/2025,15:00,ECRS,1.54,N
12/06/2025,15:00,REGDN,7.04,N
12/06/2025,15:00,REGUP,3.41,N
12/06/2025,15:00,RRS,1.45,N
12/06/2025,15:00,NSPIN,2.47,N
12/06/2025,16:00,NSPIN,2.3,N
12/06/2025,16:00,REGDN,6.92,N
12/06/2025,16:00,REGUP,4.44,N
12/06/2025,16:00,RRS,1.85,N
12/06/2025,16:00,ECRS,1.94,N
12/06/2025,17:00,REGUP,4.36,N
12/06/2025,17:00,REGDN,3.57,N
12/06/2025,17:00,ECRS,2.86,N
12/06/2025,17:00,NSPIN,3,N
12/06/2025,17:00,RRS,2.86,N
12/06/2025,18:00,REGUP,9.72,N
12/06/2025,18:00,RRS,9.72,N
12/06/2025,18:00,ECRS,9.72,N
12/06/2025,18:00,NSPIN,9.72,N
12/06/2025,18:00,REGDN,0.02,N
12/06/2025,19:00,REGDN,0.04,N
12/06/2025,19:00,REGUP,10.31,N
12/06/2025,19:00,ECRS,10.36,N
12/06/2025,19:00,RRS,10.36,N
12/06/2025,19:00,NSPIN,10,N
12/06/2025,20:00,ECRS,8.37,N
12/06/2025,20:00,NSPIN,8.37,N
12/06/2025,20:00,RRS,9.96,N
12/06/2025,20:00,REGDN,2.33,N
12/06/2025,20:00,REGUP,9.96,N
12/06/2025,21:00,NSPIN,7.28,N
12/06/2025,21:00,ECRS,3,N
12/06/2025,21:00,RRS,8.74,N
12/06/2025,21:00,REGDN,2.74,N
12/06/2025,21:00,REGUP,9.3,N
12/06/2025,22:00,ECRS,6,N
12/06/2025,22:00,RRS,8.11,N
12/06/2025,22:00,NSPIN,6.72,N
12/06/2025,22:00,REGUP,8.77,N
12/06/2025,22:00,REGDN,2.5,N
12/06/2025,23:00,ECRS,3,N
12/06/2025,23:00,NSPIN,10,N
12/06/2025,23:00,RRS,9.1,N
12/06/2025,23:00,REGUP,10,N
12/06/2025,23:00,REGDN,2.09,N
12/06/2025,24:00,RRS,7.02,N
12/06/2025,24:00,NSPIN,7.71,N
12/06/2025,24:00,ECRS,3,N
12/06/2025,24:00,REGUP,7.66,N
12/06/2025,24:00,REGDN,2.81,N
12/07/2025,01:00,ECRS,3,N
12/07/2025,01:00,REGDN,1.2,N
12/07/2025,01:00,REGUP,3,N
12/07/2025,01:00,NSPIN,5.29,N
12/07/2025,01:00,RRS,3,N
12/07/2025,02:00,ECRS,1.2,N
12/07/2025,02:00,NSPIN,5.78,N
12/07/2025,02:00,RRS,1.44,N
12/07/2025,02:00,REGUP,2.28,N
12/07/2025,02:00,REGDN,0.18,N
12/07/2025,03:00,NSPIN,5,N
12/07/2025,03:00,ECRS,1.94,N
12/07/2025,03:00,RRS,1.94,N
12/07/2025,03:00,REGDN,1.62,N
12/07/2025,03:00,REGUP,2.56,N
12/07/2025,04:00,ECRS,0.88,N
12/07/2025,04:00,NSPIN,5,N
12/07/2025,04:00,RRS,1,N
12/07/2025,04:00,REGUP,1.87,N
12/07/2025,04:00,REGDN,1.35,N
12/07/2025,05:00,ECRS,0.9,N
12/07/2025,05:00,RRS,1,N
12/07/2025,05:00,NSPIN,5.12,N
12/07/2025,05:00,REGUP,2.26,N
12/07/2025,05:00,REGDN,1.18,N
12/07/2025,06:00,ECRS,1.46,N
12/07/2025,06:00,REGDN,1.65,N
12/07/2025,06:00,REGUP,1.35,N
12/07/2025,06:00,RRS,1.46,N
12/07/2025,06:00,NSPIN,7.5,N
12/07/2025,07:00,ECRS,3,N
12/07/2025,07:00,REGDN,0.02,N
12/07/2025,07:00,REGUP,5.4,N
12/07/2025,07:00,RRS,4.96,N
12/07/2025,07:00,NSPIN,6.5,N
12/07/2025,08:00,ECRS,4.68,N
12/07/2025,08:00,NSPIN,6.5,N
12/07/2025,08:00,RRS,5.28,N
12/07/2025,08:00,REGUP,6.4,N
12/07/2025,08:00,REGDN,0.79,N
12/07/2025,09:00,ECRS,4.11,N
