DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,11,12255.15,12001.7,12543.3,11561.5,1981.51,1723.4,2204.7,2028.2,1675.99,1757.8,2062.5,1968.4,3893.56,3737.1,4085,3841.1,2553.56,2716,2234.5,1988.4,1299.24,1116.3,1199.3,1091.5,851.29,951.1,757.3,643.9,12483.5,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
11/29/2025,12,12819.28,12570.7,13091.3,12057.8,1982.05,1888.8,2073.7,1928,1454.26,1770.1,1733.5,1641.7,3791.73,3662.3,3888.8,3686.4,3233.92,3049.4,3033.2,2700.9,1328.09,1258.6,1300,1207.6,1029.23,941.5,1062.1,893.2,13016.87,N
