DeliveryDate,DeliveryHour,DeliveryInterval,RepeatedHourFlag,ASType,MCPC
12/05/2025,8,3,N,ECRS,0.84
12/05/2025,8,3,N,NSPIN,6.44
12/05/2025,8,3,N,REGDN,0.44
12/05/2025,8,3,N,REGUP,1.26
12/05/2025,8,3,N,RRS,0.81
12/05/2025,8,2,N,ECRS,1.79
12/05/2025,8,2,N,NSPIN,7.22
12/05/2025,8,2,N,REGDN,0.45
12/05/2025,8,2,N,REGUP,1.63
12/05/2025,8,2,N,RRS,0.9
12/05/2025,8,1,N,ECRS,0.82
12/05/2025,8,1,N,NSPIN,5.89
12/05/2025,8,1,N,REGDN,1.06
12/05/2025,8,1,N,REGUP,1.22
12/05/2025,8,1,N,RRS,0.73
12/05/2025,9,4,N,ECRS,0.25
12/05/2025,9,4,N,NSPIN,1
12/05/2025,9,4,N,REGDN,0.26
12/05/2025,9,4,N,REGUP,0.25
12/05/2025,9,4,N,RRS,0.13
12/05/2025,9,3,N,ECRS,0.34
12/05/2025,9,3,N,NSPIN,1.34
12/05/2025,9,3,N,REGDN,0.69
12/05/2025,9,3,N,REGUP,0.47
12/05/2025,9,3,N,RRS,0.17
12/05/2025,9,2,N,ECRS,0.58
12/05/2025,9,2,N,NSPIN,2.31
12/05/2025,9,2,N,REGDN,0.99
12/05/2025,9,2,N,REGUP,0.49
12/05/2025,9,2,N,RRS,0.29
12/05/2025,9,1,N,ECRS,0.91
12/05/2025,9,1,N,NSPIN,4.2
12/05/2025,9,1,N,REGDN,0.7
12/05/2025,9,1,N,REGUP,0.81
12/05/2025,9,1,N,RRS,0.52
12/05/2025,10,4,N,ECRS,0.05
12/05/2025,10,4,N,NSPIN,0.2
12/05/2025,10,4,N,REGDN,0.45
12/05/2025,10,4,N,REGUP,0.02
12/05/2025,10,4,N,RRS,0.02
12/05/2025,10,3,N,ECRS,0.05
12/05/2025,10,3,N,NSPIN,0.19
12/05/2025,10,3,N,REGDN,0.53
12/05/2025,10,3,N,REGUP,0.02
12/05/2025,10,3,N,RRS,0.03
12/05/2025,10,2,N,ECRS,0.05
12/05/2025,10,2,N,NSPIN,0.2
12/05/2025,10,2,N,REGDN,0.83
12/05/2025,10,2,N,REGUP,0.03
12/05/2025,10,2,N,RRS,0.03
12/05/2025,10,1,N,ECRS,0.05
12/05/2025,10,1,N,NSPIN,0.22
12/05/2025,10,1,N,REGDN,0.22
12/05/2025,10,1,N,REGUP,0.16
12/05/2025,10,1,N,RRS,0.03
12/05/2025,11,4,N,ECRS,0.03
12/05/2025,11,4,N,NSPIN,0.13
12/05/2025,11,4,N,REGDN,1.4
12/05/2025,11,4,N,REGUP,0.02
12/05/2025,11,4,N,RRS,0.01
12/05/2025,11,3,N,ECRS,0.05
12/05/2025,11,3,N,NSPIN,0.19
12/05/2025,11,3,N,REGDN,0.75
12/05/2025,11,3,N,REGUP,0.02
12/05/2025,11,3,N,RRS,0.01
12/05/2025,11,2,N,ECRS,0.05
12/05/2025,11,2,N,NSPIN,0.2
12/05/2025,11,2,N,REGDN,0.3
12/05/2025,11,2,N,REGUP,0.03
12/05/2025,11,2,N,RRS,0.01
12/05/2025,11,1,N,ECRS,0.04
12/05/2025,11,1,N,NSPIN,0.18
12/05/2025,11,1,N,REGDN,0.52
12/05/2025,11,1,N,REGUP,0.02
12/05/2025,11,1,N,RRS,0.01
12/05/2025,12,4,N,ECRS,0.01
12/05/2025,12,4,N,NSPIN,0.1
12/05/2025,12,4,N,REGDN,0.87
12/05/2025,12,4,N,REGUP,0.1
12/05/2025,12,4,N,RRS,0.01
12/05/2025,12,3,N,ECRS,0.01
12/05/2025,12,3,N,NSPIN,0.1
12/05/2025,12,3,N,REGDN,0.49
12/05/2025,12,3,N,REGUP,0.19
12/05/2025,12,3,N,RRS,0.01
12/05/2025,12,2,N,ECRS,0.01
12/05/2025,12,2,N,NSPIN,0.11
12/05/2025,12,2,N,REGDN,0.07
12/05/2025,12,2,N,REGUP,0.1
12/05/2025,12,2,N,RRS,0.01
12/05/2025,12,1,N,ECRS,0.01
12/05/2025,12,1,N,NSPIN,0.11
12/05/2025,12,1,N,REGDN,0.22
12/05/2025,12,1,N,REGUP,0.16
12/05/2025,12,1,N,RRS,0.01
12/05/2025,13,4,N,ECRS,0
12/05/2025,13,4,N,NSPIN,0.16
12/05/2025,13,4,N,REGDN,0.32
12/05/2025,13,4,N,REGUP,0.31
12/05/2025,13,4,N,RRS,0
12/05/2025,13,3,N,ECRS,0
12/05/2025,13,3,N,NSPIN,0.16
12/05/2025,13,3,N,REGDN,0.06
12/05/2025,13,3,N,REGUP,0.35
12/05/2025,13,3,N,RRS,0
12/05/2025,13,2,N,ECRS,0
12/05/2025,13,2,N,NSPIN,0.1
12/05/2025,13,2,N,REGDN,0.19
12/05/2025,13,2,N,REGUP,0.02
12/05/2025,13,2,N,RRS,0
12/05/2025,13,1,N,ECRS,0.01
12/05/2025,13,1,N,NSPIN,0.13
12/05/2025,13,1,N,REGDN,0.65
12/05/2025,13,1,N,REGUP,0.15
12/05/2025,13,1,N,RRS,0.01
12/05/2025,14,4,N,ECRS,0.01
12/05/2025,14,4,N,NSPIN,0.1
12/05/2025,14,4,N,REGDN,0.18
12/05/2025,14,4,N,REGUP,0.31
12/05/2025,14,4,N,RRS,0.01
12/05/2025,14,3,N,ECRS,0.01
12/05/2025,14,3,N,NSPIN,0.1
12/05/2025,14,3,N,REGDN,0.45
12/05/2025,14,3,N,REGUP,0.22
12/05/2025,14,3,N,RRS,0.01
12/05/2025,14,2,N,ECRS,0.01
12/05/2025,14,2,N,NSPIN,0.1
12/05/2025,14,2,N,REGDN,0.06
12/05/2025,14,2,N,REGUP,0.25
12/05/2025,14,2,N,RRS,0.01
12/05/2025,14,1,N,ECRS,0.01
12/05/2025,14,1,N,NSPIN,0.1
12/05/2025,14,1,N,REGDN,0.15
12/05/2025,14,1,N,REGUP,0.29
12/05/2025,14,1,N,RRS,0.01
12/05/2025,15,4,N,ECRS,0.03
12/05/2025,15,4,N,NSPIN,0.1
12/05/2025,15,4,N,REGDN,0.05
12/05/2025,15,4,N,REGUP,0.57
12/05/2025,15,4,N,RRS,0.01
12/05/2025,15,3,N,ECRS,0.03
12/05/2025,15,3,N,NSPIN,0.1
12/05/2025,15,3,N,REGDN,0.04
12/05/2025,15,3,N,REGUP,0.64
12/05/2025,15,3,N,RRS,0.01
12/05/2025,15,2,N,ECRS,0.03
12/05/2025,15,2,N,NSPIN,0.1
12/05/2025,15,2,N,REGDN,0.04
12/05/2025,15,2,N,REGUP,0.38
12/05/2025,15,2,N,RRS,0.01
12/05/2025,15,1,N,ECRS,0.03
12/05/2025,15,1,N,NSPIN,0.1
12/05/2025,15,1,N,REGDN,0.02
12/05/2025,15,1,N,REGUP,0.27
12/05/2025,15,1,N,RRS,0.01
12/05/2025,16,4,N,ECRS,0.03
12/05/2025,16,4,N,NSPIN,0.1
12/05/2025,16,4,N,REGDN,0.85
12/05/2025,16,4,N,REGUP,0.76
12/05/2025,16,4,N,RRS,0.01
12/05/2025,16,3,N,ECRS,0.03
12/05/2025,16,3,N,NSPIN,0.1
12/05/2025,16,3,N,REGDN,1.52
12/05/2025,16,3,N,REGUP,1
12/05/2025,16,3,N,RRS,0.01
12/05/2025,16,2,N,ECRS,0.03
12/05/2025,16,2,N,NSPIN,0.1
12/05/2025,16,2,N,REGDN,2.22
12/05/2025,16,2,N,REGUP,0.98
12/05/2025,16,2,N,RRS,0.01
12/05/2025,16,1,N,ECRS,0.03
12/05/2025,16,1,N,NSPIN,0.1
12/05/2025,16,1,N,REGDN,0.69
12/05/2025,16,1,N,REGUP,0.42
12/05/2025,16,1,N,RRS,0.01
12/05/2025,17,4,N,ECRS,0.28
12/05/2025,17,4,N,NSPIN,1.11
12/05/2025,17,4,N,REGDN,1.7
12/05/2025,17,4,N,REGUP,0.71
12/05/2025,17,4,N,RRS,0.14
12/05/2025,17,3,N,ECRS,0.24
12/05/2025,17,3,N,NSPIN,0.95
12/05/2025,17,3,N,REGDN,1.58
12/05/2025,17,3,N,REGUP,1.55
12/05/2025,17,3,N,RRS,0.12
12/05/2025,17,2,N,ECRS,0.15
12/05/2025,17,2,N,NSPIN,0.58
12/05/2025,17,2,N,REGDN,4.39
12/05/2025,17,2,N,REGUP,1.52
12/05/2025,17,2,N,RRS,0.07
12/05/2025,17,1,N,ECRS,0.1
12/05/2025,17,1,N,NSPIN,0.38
12/05/2025,17,1,N,REGDN,1.93
12/05/2025,17,1,N,REGUP,0.18
12/05/2025,17,1,N,RRS,0.05
12/05/2025,18,4,N,ECRS,1.53
12/05/2025,18,4,N,NSPIN,6.13
12/05/2025,18,4,N,REGDN,3.01
12/05/2025,18,4,N,REGUP,0.83
12/05/2025,18,4,N,RRS,0.76
12/05/2025,18,3,N,ECRS,1.42
12/05/2025,18,3,N,NSPIN,5.67
12/05/2025,18,3,N,REGDN,2.14
12/05/2025,18,3,N,REGUP,1.17
12/05/2025,18,3,N,RRS,0.71
12/05/2025,18,2,N,ECRS,0.84
12/05/2025,18,2,N,NSPIN,3.37
12/05/2025,18,2,N,REGDN,2.29
12/05/2025,18,2,N,REGUP,1.25
12/05/2025,18,2,N,RRS,0.42
12/05/2025,18,1,N,ECRS,0.53
12/05/2025,18,1,N,NSPIN,2.12
12/05/2025,18,1,N,REGDN,1.07
12/05/2025,18,1,N,REGUP,0.48
12/05/2025,18,1,N,RRS,0.27
12/05/2025,19,4,N,ECRS,1.75
12/05/2025,19,4,N,NSPIN,6.98
12/05/2025,19,4,N,REGDN,1.5
12/05/2025,19,4,N,REGUP,1.01
12/05/2025,19,4,N,RRS,0.87
12/05/2025,19,3,N,ECRS,1.47
12/05/2025,19,3,N,NSPIN,5.88
12/05/2025,19,3,N,REGDN,1.82
12/05/2025,19,3,N,REGUP,0.74
12/05/2025,19,3,N,RRS,0.74
12/05/2025,19,2,N,ECRS,1.38
12/05/2025,19,2,N,NSPIN,5.5
12/05/2025,19,2,N,REGDN,2.28
12/05/2025,19,2,N,REGUP,0.69
12/05/2025,19,2,N,RRS,0.69
12/05/2025,19,1,N,ECRS,1.45
12/05/2025,19,1,N,NSPIN,5.79
12/05/2025,19,1,N,REGDN,1.05
12/05/2025,19,1,N,REGUP,0.81
12/05/2025,19,1,N,RRS,0.59
12/05/2025,20,4,N,ECRS,0.99
12/05/2025,20,4,N,NSPIN,5
12/05/2025,20,4,N,REGDN,1.07
12/05/2025,20,4,N,REGUP,0.62
12/05/2025,20,4,N,RRS,0.49
12/05/2025,20,3,N,ECRS,1.01
12/05/2025,20,3,N,NSPIN,5.22
12/05/2025,20,3,N,REGDN,0.44
12/05/2025,20,3,N,REGUP,0.65
12/05/2025,20,3,N,RRS,0.51
12/05/2025,20,2,N,ECRS,1.34
12/05/2025,20,2,N,NSPIN,5.54
12/05/2025,20,2,N,REGDN,0.7
12/05/2025,20,2,N,REGUP,0.72
12/05/2025,20,2,N,RRS,0.67
12/05/2025,20,1,N,ECRS,1.9
12/05/2025,20,1,N,NSPIN,7.61
12/05/2025,20,1,N,REGDN,0.32
12/05/2025,20,1,N,REGUP,0.98
12/05/2025,20,1,N,RRS,0.95
12/05/2025,21,4,N,ECRS,1
12/05/2025,21,4,N,NSPIN,5
12/05/2025,21,4,N,REGDN,1.05
12/05/2025,21,4,N,REGUP,0.62
12/05/2025,21,4,N,RRS,0.58
12/05/2025,21,3,N,ECRS,1
12/05/2025,21,3,N,NSPIN,5
12/05/2025,21,3,N,REGDN,1.13
12/05/2025,21,3,N,REGUP,0.63
12/05/2025,21,3,N,RRS,0.61
12/05/2025,21,2,N,ECRS,1
12/05/2025,21,2,N,NSPIN,4.97
12/05/2025,21,2,N,REGDN,0.92
12/05/2025,21,2,N,REGUP,0.62
12/05/2025,21,2,N,RRS,0.61
12/05/2025,21,1,N,ECRS,1.04
12/05/2025,21,1,N,NSPIN,5.16
12/05/2025,21,1,N,REGDN,0.89
12/05/2025,21,1,N,REGUP,0.65
12/05/2025,21,1,N,RRS,0.55
12/05/2025,22,4,N,ECRS,0.37
12/05/2025,22,4,N,NSPIN,1.48
12/05/2025,22,4,N,REGDN,0.22
12/05/2025,22,4,N,REGUP,0.42
12/05/2025,22,4,N,RRS,0.19
12/05/2025,22,3,N,ECRS,0.37
12/05/2025,22,3,N,NSPIN,1.49
12/05/2025,22,3,N,REGDN,0.27
12/05/2025,22,3,N,REGUP,0.19
12/05/2025,22,3,N,RRS,0.19
12/05/2025,22,2,N,ECRS,0.39
12/05/2025,22,2,N,NSPIN,1.54
12/05/2025,22,2,N,REGDN,0.27
12/05/2025,22,2,N,REGUP,0.19
12/05/2025,22,2,N,RRS,0.19
12/05/2025,22,1,N,ECRS,0.45
12/05/2025,22,1,N,NSPIN,1.82
12/05/2025,22,1,N,REGDN,0.28
12/05/2025,22,1,N,REGUP,0.25
12/05/2025,22,1,N,RRS,0.23
12/05/2025,23,4,N,ECRS,0.34
12/05/2025,23,4,N,NSPIN,1.36
12/05/2025,23,4,N,REGDN,0.35
12/05/2025,23,4,N,REGUP,0.6
12/05/2025,23,4,N,RRS,0.17
12/05/2025,23,3,N,ECRS,0.34
12/05/2025,23,3,N,NSPIN,1.36
12/05/2025,23,3,N,REGDN,0.19
12/05/2025,23,3,N,REGUP,0.59
12/05/2025,23,3,N,RRS,0.17
12/05/2025,23,2,N,ECRS,0.34
12/05/2025,23,2,N,NSPIN,1.36
12/05/2025,23,2,N,REGDN,0.29
12/05/2025,23,2,N,REGUP,0.48
12/05/2025,23,2,N,RRS,0.17
12/05/2025,23,1,N,ECRS,0.39
12/05/2025,23,1,N,NSPIN,1.56
12/05/2025,23,1,N,REGDN,0.32
12/05/2025,23,1,N,REGUP,0.53
12/05/2025,23,1,N,RRS,0.19
12/05/2025,24,4,N,ECRS,0.36
12/05/2025,24,4,N,NSPIN,1.43
12/05/2025,24,4,N,REGDN,0.19
12/05/2025,24,4,N,REGUP,0.88
12/05/2025,24,4,N,RRS,0.18
12/05/2025,24,3,N,ECRS,0.35
12/05/2025,24,3,N,NSPIN,1.38
12/05/2025,24,3,N,REGDN,0.22
12/05/2025,24,3,N,REGUP,0.91
12/05/2025,24,3,N,RRS,0.17
12/05/2025,24,2,N,ECRS,0.34
12/05/2025,24,2,N,NSPIN,1.36
12/05/2025,24,2,N,REGDN,0.31
12/05/2025,24,2,N,REGUP,0.83
12/05/2025,24,2,N,RRS,0.17
12/05/2025,24,1,N,ECRS,0.35
12/05/2025,24,1,N,NSPIN,1.42
12/05/2025,24,1,N,REGDN,0.91
12/05/2025,24,1,N,REGUP,0.45
12/05/2025,24,1,N,RRS,0.18
12/06/2025,1,4,N,ECRS,0.76
12/06/2025,1,4,N,NSPIN,3.02
12/06/2025,1,4,N,REGDN,0.37
12/06/2025,1,4,N,REGUP,1.3
12/06/2025,1,4,N,RRS,0.38
12/06/2025,1,3,N,ECRS,0.76
12/06/2025,1,3,N,NSPIN,3.04
12/06/2025,1,3,N,REGDN,0.38
12/06/2025,1,3,N,REGUP,1.39
12/06/2025,1,3,N,RRS,0.38
12/06/2025,1,2,N,ECRS,0.77
12/06/2025,1,2,N,NSPIN,3.07
12/06/2025,1,2,N,REGDN,0.34
12/06/2025,1,2,N,REGUP,1.02
12/06/2025,1,2,N,RRS,0.38
12/06/2025,1,1,N,ECRS,0.76
12/06/2025,1,1,N,NSPIN,3.04
12/06/2025,1,1,N,REGDN,0.39
12/06/2025,1,1,N,REGUP,1.39
12/06/2025,1,1,N,RRS,0.38
12/06/2025,2,4,N,ECRS,0.67
12/06/2025,2,4,N,NSPIN,2.68
12/06/2025,2,4,N,REGDN,0.2
12/06/2025,2,4,N,REGUP,0.33
12/06/2025,2,4,N,RRS,0.34
12/06/2025,2,3,N,ECRS,0.67
12/06/2025,2,3,N,NSPIN,2.68
12/06/2025,2,3,N,REGDN,0.2
12/06/2025,2,3,N,REGUP,0.88
12/06/2025,2,3,N,RRS,0.34
12/06/2025,2,2,N,ECRS,0.67
12/06/2025,2,2,N,NSPIN,2.68
12/06/2025,2,2,N,REGDN,0.2
12/06/2025,2,2,N,REGUP,1.09
12/06/2025,2,2,N,RRS,0.34
12/06/2025,2,1,N,ECRS,0.67
12/06/2025,2,1,N,NSPIN,2.69
12/06/2025,2,1,N,REGDN,0.14
12/06/2025,2,1,N,REGUP,1.42
12/06/2025,2,1,N,RRS,0.34
12/06/2025,3,4,N,ECRS,0.59
12/06/2025,3,4,N,NSPIN,2.37
12/06/2025,3,4,N,REGDN,0.62
12/06/2025,3,4,N,REGUP,0.96
12/06/2025,3,4,N,RRS,0.3
12/06/2025,3,3,N,ECRS,0.6
12/06/2025,3,3,N,NSPIN,2.37
12/06/2025,3,3,N,REGDN,0.33
12/06/2025,3,3,N,REGUP,1.64
12/06/2025,3,3,N,RRS,0.31
12/06/2025,3,2,N,ECRS,0.58
12/06/2025,3,2,N,NSPIN,2.31
12/06/2025,3,2,N,REGDN,0.34
12/06/2025,3,2,N,REGUP,0.67
12/06/2025,3,2,N,RRS,0.3
12/06/2025,3,1,N,ECRS,0.55
12/06/2025,3,1,N,NSPIN,2.21
12/06/2025,3,1,N,REGDN,0.29
12/06/2025,3,1,N,REGUP,0.88
12/06/2025,3,1,N,RRS,0.28
12/06/2025,4,4,N,ECRS,0.7
12/06/2025,4,4,N,NSPIN,2.78
12/06/2025,4,4,N,REGDN,0.33
12/06/2025,4,4,N,REGUP,0.93
12/06/2025,4,4,N,RRS,0.35
12/06/2025,4,3,N,ECRS,0.72
12/06/2025,4,3,N,NSPIN,2.88
12/06/2025,4,3,N,REGDN,0.31
12/06/2025,4,3,N,REGUP,0.61
12/06/2025,4,3,N,RRS,0.36
12/06/2025,4,2,N,ECRS,0.77
12/06/2025,4,2,N,NSPIN,3.17
12/06/2025,4,2,N,REGDN,0.23
12/06/2025,4,2,N,REGUP,0.49
12/06/2025,4,2,N,RRS,0.4
12/06/2025,4,1,N,ECRS,0.84
12/06/2025,4,1,N,NSPIN,3.42
12/06/2025,4,1,N,REGDN,0.17
12/06/2025,4,1,N,REGUP,0.51
12/06/2025,4,1,N,RRS,0.43
12/06/2025,5,4,N,ECRS,0.75
12/06/2025,5,4,N,NSPIN,3.01
12/06/2025,5,4,N,REGDN,0.19
12/06/2025,5,4,N,REGUP,0.9
12/06/2025,5,4,N,RRS,0.38
12/06/2025,5,3,N,ECRS,0.76
12/06/2025,5,3,N,NSPIN,3.05
12/06/2025,5,3,N,REGDN,0.26
12/06/2025,5,3,N,REGUP,0.92
12/06/2025,5,3,N,RRS,0.38
12/06/2025,5,2,N,ECRS,0.75
12/06/2025,5,2,N,NSPIN,2.99
12/06/2025,5,2,N,REGDN,0.14
12/06/2025,5,2,N,REGUP,0.91
12/06/2025,5,2,N,RRS,0.37
12/06/2025,5,1,N,ECRS,0.78
12/06/2025,5,1,N,NSPIN,3.21
12/06/2025,5,1,N,REGDN,0.23
12/06/2025,5,1,N,REGUP,0.85
12/06/2025,5,1,N,RRS,0.4
12/06/2025,6,4,N,ECRS,1.04
12/06/2025,6,4,N,NSPIN,4.17
12/06/2025,6,4,N,REGDN,0.05
12/06/2025,6,4,N,REGUP,1.4
12/06/2025,6,4,N,RRS,0.52
12/06/2025,6,3,N,ECRS,0.98
12/06/2025,6,3,N,NSPIN,3.93
12/06/2025,6,3,N,REGDN,0
12/06/2025,6,3,N,REGUP,1.02
12/06/2025,6,3,N,RRS,0.49
12/06/2025,6,2,N,ECRS,0.96
12/06/2025,6,2,N,NSPIN,3.87
12/06/2025,6,2,N,REGDN,0
12/06/2025,6,2,N,REGUP,1.07
12/06/2025,6,2,N,RRS,0.48
12/06/2025,6,1,N,ECRS,0.85
12/06/2025,6,1,N,NSPIN,4.18
12/06/2025,6,1,N,REGDN,0.05
12/06/2025,6,1,N,REGUP,1.42
12/06/2025,6,1,N,RRS,0.52
12/06/2025,7,4,N,ECRS,2.23
12/06/2025,7,4,N,NSPIN,8.9
12/06/2025,7,4,N,REGDN,1.09
12/06/2025,7,4,N,REGUP,1.28
12/06/2025,7,4,N,RRS,1.11
12/06/2025,7,3,N,ECRS,2.08
12/06/2025,7,3,N,NSPIN,8.33
12/06/2025,7,3,N,REGDN,0.84
12/06/2025,7,3,N,REGUP,1.04
12/06/2025,7,3,N,RRS,1.04
12/06/2025,7,2,N,ECRS,2.05
12/06/2025,7,2,N,NSPIN,8.18
12/06/2025,7,2,N,REGDN,0.58
12/06/2025,7,2,N,REGUP,1.08
12/06/2025,7,2,N,RRS,1.02
12/06/2025,7,1,N,ECRS,2.08
12/06/2025,7,1,N,NSPIN,8.31
12/06/2025,7,1,N,REGDN,0.39
12/06/2025,7,1,N,REGUP,2.6
12/06/2025,7,1,N,RRS,1.04
12/06/2025,8,4,N,ECRS,2.94
12/06/2025,8,4,N,NSPIN,8.45
12/06/2025,8,4,N,REGDN,0
12/06/2025,8,4,N,REGUP,2.47
12/06/2025,8,4,N,RRS,1.47
12/06/2025,8,3,N,ECRS,4.48
12/06/2025,8,3,N,NSPIN,9.57
12/06/2025,8,3,N,REGDN,0.45
12/06/2025,8,3,N,REGUP,6.61
12/06/2025,8,3,N,RRS,2.24
