Date,HourEnding,TotalResourceMWZoneSouth,TotalResourceMWZoneNorth,TotalResourceMWZoneWest,TotalResourceMWZoneHouston,TotalIRRMWZoneSouth,TotalIRRMWZoneNorth,TotalIRRMWZoneWest,TotalIRRMWZoneHouston,TotalNewEquipResourceMWZoneSouth,TotalNewEquipResourceMWZoneNorth,TotalNewEquipResourceMWZoneWest,TotalNewEquipResourceMWZoneHouston
12/01/2025,01,9525,5814,664,3168,714,926,1974,163,1093,2760,1385,1256
12/01/2025,01,9525,5814,664,3213,714,926,1974,163,1093,2760,1385,1256
12/01/2025,01,9525,5814,664,3213,714,926,1965,163,1093,2760,1385,1256
12/01/2025,01,9693,5814,664,3213,714,926,1965,163,1093,2760,1385,1256
12/01/2025,01,9698,5858,664,3213,775,926,1974,163,1093,2760,1385,1256
12/01/2025,01,9698,5858,664,3213,775,926,1961,163,1093,2760,1385,1256
12/01/2025,01,9698,5858,664,3213,775,926,1974,163,1093,2760,1385,1256
12/01/2025,01,9698,5814,664,3213,775,926,1974,163,1093,2760,1385,1256
12/01/2025,01,9698,5814,664,3213,775,926,1974,163,1093,2760,1385,1256
12/01/2025,01,9698,5814,664,3213,775,926,1974,163,1083,2760,1385,1096
12/01/2025,01,9698,5858,715,3213,775,926,1976,163,1093,2760,1385,1256
12/01/2025,01,9698,5858,715,3213,775,926,1976,163,1093,2760,1385,1256
12/01/2025,01,9698,5966,715,3213,775,926,1976,163,1093,2760,1385,1256
12/01/2025,01,9698,5966,715,3213,775,926,1976,163,1093,2760,1385,1256
12/01/2025,01,9638,5966,715,3204,775,926,2215,163,1093,2760,1385,1256
12/01/2025,01,9698,6016,715,3214,775,926,2215,163,1093,2760,1385,1256
12/01/2025,01,9698,6016,715,3214,775,926,2415,163,1093,2760,1385,1256
12/01/2025,01,9698,6016,715,3214,775,926,2415,163,1093,2760,1385,1256
12/01/2025,01,9698,6016,715,3214,775,926,2415,163,1093,2760,1385,1256
12/01/2025,01,9698,6016,715,3214,775,926,2415,163,1093,2760,1385,1256
12/01/2025,01,9698,6016,715,3214,775,926,2415,163,1093,2760,1385,1256
12/01/2025,01,9638,5966,715,3204,775,926,2415,188,1093,2760,1385,1256
12/01/2025,02,9525,5762,664,3213,714,926,1993,163,1093,2760,1385,1256
12/01/2025,02,9525,5818,664,3213,714,926,1993,163,1093,2760,1385,1256
12/01/2025,02,9525,5818,664,3168,714,926,1993,163,1093,2760,1385,1256
12/01/2025,02,9525,5818,664,3213,714,926,1993,163,1093,2760,1385,1256
12/01/2025,02,9525,5818,664,3213,714,926,1984,163,1093,2760,1385,1256
12/01/2025,02,9693,5818,664,3213,714,926,1984,163,1093,2760,1385,1256
12/01/2025,02,9698,5866,664,3213,775,926,1993,163,1093,2760,1385,1256
12/01/2025,02,9698,5866,664,3213,775,926,1980,163,1093,2760,1385,1256
12/01/2025,02,9698,5866,664,3213,775,926,1993,163,1093,2760,1385,1256
12/01/2025,02,9698,5822,664,3213,775,926,1993,163,1093,2760,1385,1256
12/01/2025,02,9698,5822,664,3213,775,926,1993,163,1093,2760,1385,1256
12/01/2025,02,9698,5822,664,3213,775,926,1993,163,1083,2760,1385,1096
12/01/2025,02,9698,5866,715,3213,775,926,1995,163,1093,2760,1385,1256
12/01/2025,02,9698,5866,715,3213,775,926,1995,163,1093,2760,1385,1256
12/01/2025,02,9698,5974,715,3213,775,926,1995,163,1093,2760,1385,1256
12/01/2025,02,9698,5974,715,3213,775,926,1995,163,1093,2760,1385,1256
12/01/2025,02,9638,5974,715,3204,775,926,2234,163,1093,2760,1385,1256
12/01/2025,02,9698,6024,715,3214,775,926,2234,163,1093,2760,1385,1256
12/01/2025,02,9698,6024,715,3214,775,926,2434,163,1093,2760,1385,1256
12/01/2025,02,9698,6024,715,3214,775,926,2434,163,1093,2760,1385,1256
12/01/2025,02,9698,6024,715,3214,775,926,2434,163,1093,2760,1385,1256
12/01/2025,02,9698,6024,715,3214,775,926,2434,163,1093,2760,1385,1256
12/01/2025,02,9698,6016,715,3214,775,926,2415,163,1093,2760,1385,1256
12/01/2025,02,9638,5966,715,3204,775,926,2415,163,1093,2760,1385,1256
12/01/2025,03,9525,5762,664,3213,714,926,2007,163,1093,2760,1385,1256
12/01/2025,03,9525,5818,664,3213,714,926,2007,163,1093,2760,1385,1256
12/01/2025,03,9525,5818,664,3168,714,926,2007,163,1093,2760,1385,1256
12/01/2025,03,9525,5818,664,3213,714,926,2007,163,1093,2760,1385,1256
12/01/2025,03,9525,5818,664,3213,714,926,1998,163,1093,2760,1385,1256
12/01/2025,03,9693,5818,664,3213,714,926,1998,163,1093,2760,1385,1256
12/01/2025,03,9698,5866,664,3213,775,926,2007,163,1093,2760,1385,1256
12/01/2025,03,9698,5866,664,3213,775,926,1994,163,1093,2760,1385,1256
12/01/2025,03,9698,5866,664,3213,775,926,2007,163,1093,2760,1385,1256
12/01/2025,03,9698,5822,664,3213,775,926,2007,163,1093,2760,1385,1256
12/01/2025,03,9698,5822,664,3213,775,926,2007,163,1093,2760,1385,1256
12/01/2025,03,9698,5822,664,3213,775,926,2007,163,1083,2760,1385,1096
12/01/2025,03,9698,5866,715,3213,775,926,2009,163,1093,2760,1385,1256
12/01/2025,03,9698,5866,715,3213,775,926,2009,163,1093,2760,1385,1256
12/01/2025,03,9698,5974,715,3213,775,926,2009,163,1093,2760,1385,1256
12/01/2025,03,9698,5974,715,3213,775,926,2009,163,1093,2760,1385,1256
12/01/2025,03,9638,6024,715,3204,775,926,2248,163,1093,2760,1385,1256
12/01/2025,03,9698,6079,715,3214,775,926,2248,163,1093,2760,1385,1256
12/01/2025,03,9698,6079,715,3214,775,926,2448,163,1093,2760,1385,1256
12/01/2025,03,9698,6079,715,3214,775,926,2448,163,1093,2760,1385,1256
12/01/2025,03,9698,6079,715,3214,775,926,2448,163,1093,2760,1385,1256
12/01/2025,03,9698,6024,715,3214,775,926,2434,163,1093,2760,1385,1256
12/01/2025,03,9698,6016,715,3214,775,926,2415,163,1093,2760,1385,1256
12/01/2025,03,9638,5966,715,3204,775,926,2415,163,1093,2760,1385,1256
12/01/2025,04,9525,5762,664,3213,714,926,2016,163,1093,2760,1385,1256
12/01/2025,04,9525,5818,664,3213,714,926,2016,163,1093,2760,1385,1256
12/01/2025,04,9525,5818,664,3168,714,926,2016,163,1093,2760,1385,1256
12/01/2025,04,9525,5818,664,3213,714,926,2016,163,1093,2760,1385,1256
12/01/2025,04,9525,5818,664,3213,714,926,2007,163,1093,2760,1385,1256
12/01/2025,04,9693,5818,664,3213,714,926,2007,163,1093,2760,1385,1256
12/01/2025,04,9698,5866,664,3213,775,926,2016,163,1093,2760,1385,1256
12/01/2025,04,9698,5866,664,3213,775,926,2003,163,1093,2760,1385,1256
12/01/2025,04,9698,5866,664,3213,775,926,2016,163,1093,2760,1385,1256
12/01/2025,04,9698,5822,664,3213,775,926,2016,163,1093,2760,1385,1256
12/01/2025,04,9698,5822,664,3213,775,926,2016,163,1093,2760,1385,1256
12/01/2025,04,9698,5822,664,3213,775,926,2016,163,1083,2760,1385,1096
12/01/2025,04,9698,5866,715,3213,775,926,2018,163,1093,2760,1385,1256
12/01/2025,04,9698,5866,715,3213,775,926,2018,163,1093,2760,1385,1256
12/01/2025,04,9698,5974,715,3213,775,926,2018,163,1093,2760,1385,1256
12/01/2025,04,9698,5974,715,3213,775,926,2018,163,1093,2760,1385,1256
12/01/2025,04,9638,6064,715,3204,775,926,2257,163,1093,2760,1385,1256
12/01/2025,04,9698,6119,715,3214,775,926,2257,163,1093,2760,1385,1256
12/01/2025,04,9698,6119,715,3214,775,926,2457,163,1093,2760,1385,1256
12/01/2025,04,9698,6119,715,3214,775,926,2457,163,1093,2760,1385,1256
12/01/2025,04,9698,6079,715,3214,775,926,2448,163,1093,2760,1385,1256
12/01/2025,04,9698,6024,715,3214,775,926,2434,163,1093,2760,1385,1256
12/01/2025,04,9698,6016,715,3214,775,926,2415,163,1093,2760,1385,1256
12/01/2025,04,9638,5966,715,3204,775,926,2415,163,1093,2760,1385,1256
12/01/2025,05,9571,5762,664,3213,714,926,2016,163,1093,2760,1385,1256
12/01/2025,05,9571,5818,664,3213,714,926,2016,163,1093,2760,1385,1256
12/01/2025,05,9571,5818,664,3168,714,926,2016,163,1093,2760,1385,1256
12/01/2025,05,9571,5818,664,3213,714,926,2016,163,1093,2760,1385,1256
12/01/2025,05,9571,5818,664,3213,714,926,2007,163,1093,2760,1385,1256
12/01/2025,05,9739,5818,664,3213,714,926,2007,163,1093,2760,1385,1256
12/01/2025,05,9744,5866,664,3213,775,926,2016,163,1093,2760,1385,1256
12/01/2025,05,9744,5866,664,3213,775,926,2003,163,1093,2760,1385,1256
12/01/2025,05,9744,5866,664,3213,775,926,2016,163,1093,2760,1385,1256
12/01/2025,05,9744,5822,664,3213,775,926,2016,163,1093,2760,1385,1256
12/01/2025,05,9744,5822,664,3213,775,926,2016,163,1093,2760,1385,1256
12/01/2025,05,9744,5822,664,3213,775,926,2016,163,1083,2760,1385,1096
12/01/2025,05,9744,5866,715,3213,775,926,2018,163,1093,2760,1385,1256
12/01/2025,05,9744,5866,715,3213,775,926,2018,163,1093,2760,1385,1256
12/01/2025,05,9744,5974,715,3213,775,926,2018,163,1093,2760,1385,1256
12/01/2025,05,9744,5974,715,3213,775,926,2018,163,1093,2760,1385,1256
12/01/2025,05,9684,5974,715,3204,775,926,2257,163,1093,2760,1385,1256
12/01/2025,05,9744,6029,715,3214,775,926,2257,163,1093,2760,1385,1256
12/01/2025,05,9744,6114,715,3214,775,926,2457,163,1093,2760,1385,1256
12/01/2025,05,9698,6119,715,3214,775,926,2457,163,1093,2760,1385,1256
12/01/2025,05,9698,6079,715,3214,775,926,2448,163,1093,2760,1385,1256
12/01/2025,05,9698,6024,715,3214,775,926,2434,163,1093,2760,1385,1256
12/01/2025,05,9698,6016,715,3214,775,926,2415,163,1093,2760,1385,1256
12/01/2025,05,9638,5966,715,3204,775,926,2415,163,1093,2760,1385,1256
12/01/2025,06,9640,5762,664,3213,752,926,2016,163,1093,2760,1385,1256
12/01/2025,06,9640,5818,664,3213,752,926,2016,163,1093,2760,1385,1256
12/01/2025,06,9640,5818,664,3168,752,926,2016,163,1093,2760,1385,1256
12/01/2025,06,9640,5818,664,3213,752,926,2016,163,1093,2760,1385,1256
12/01/2025,06,9640,5818,664,3213,752,926,2007,163,1093,2760,1385,1256
12/01/2025,06,9808,5818,664,3213,752,926,2007,163,1093,2760,1385,1256
12/01/2025,06,9832,5866,664,3213,813,926,2016,163,1093,2760,1385,1256
12/01/2025,06,9832,5866,664,3213,813,926,2003,163,1093,2760,1385,1256
12/01/2025,06,9832,5866,664,3213,813,926,2016,163,1093,2760,1385,1256
12/01/2025,06,9832,5822,664,3487,813,926,2016,163,1093,2760,1385,1256
12/01/2025,06,9832,5822,664,3487,813,926,2016,163,1093,2760,1385,1256
12/01/2025,06,9832,5822,664,3487,813,926,2016,163,1083,2760,1385,1096
12/01/2025,06,9832,5866,715,3487,813,926,2018,163,1093,2760,1385,1256
12/01/2025,06,9832,5866,715,3487,813,926,2018,163,1093,2760,1385,1256
12/01/2025,06,9832,5974,715,3487,813,926,2018,163,1093,2760,1385,1256
12/01/2025,06,9832,5974,715,3487,813,926,2018,163,1093,2760,1385,1256
12/01/2025,06,10018,6064,715,3478,813,926,2257,163,1093,2760,1385,1256
12/01/2025,06,10078,6119,715,3488,813,926,2257,163,1093,2760,1385,1256
12/01/2025,06,9813,6114,715,3214,803,926,2457,163,1093,2760,1385,1256
12/01/2025,06,9767,6119,715,3214,803,926,2457,163,1093,2760,1385,1256
12/01/2025,06,9767,6079,715,3214,803,926,2448,163,1093,2760,1385,1256
12/01/2025,06,9767,6024,715,3214,803,926,2434,163,1093,2760,1385,1256
12/01/2025,06,9767,6016,715,3214,803,926,2415,163,1093,2760,1385,1256
12/01/2025,06,9707,5966,715,3204,803,926,2415,163,1093,2760,1385,1256
12/01/2025,07,9674,5762,664,3213,799,926,2049,163,1093,2760,1385,1256
12/01/2025,07,9674,5818,664,3213,799,926,2049,163,1093,2760,1385,1256
12/01/2025,07,9674,5818,664,3168,799,926,2049,163,1093,2760,1385,1256
12/01/2025,07,9674,5818,664,3213,799,926,2049,163,1093,2760,1385,1256
12/01/2025,07,9674,5818,664,3213,799,926,2040,163,1093,2760,1385,1256
12/01/2025,07,9842,5818,664,3213,799,926,2040,163,1093,2760,1385,1256
12/01/2025,07,9861,5866,664,3213,860,926,2049,163,1093,2760,1385,1256
12/01/2025,07,9861,5866,664,3213,860,926,2036,163,1093,2760,1385,1256
12/01/2025,07,9861,5866,664,3213,860,926,2049,163,1093,2760,1385,1256
12/01/2025,07,9861,5822,664,3487,860,926,2049,163,1093,2760,1385,1256
12/01/2025,07,9861,5822,664,3487,860,926,2049,163,1093,2760,1385,1256
12/01/2025,07,9861,5822,664,3487,860,926,2049,163,1083,2760,1385,1096
12/01/2025,07,9861,5866,715,3487,860,926,2051,163,1093,2760,1385,1256
12/01/2025,07,9861,5866,715,3487,860,926,2051,163,1093,2760,1385,1256
12/01/2025,07,9861,5974,715,3487,860,926,2051,163,1093,2760,1385,1256
12/01/2025,07,9861,6764,715,3487,860,926,2051,163,1093,2760,1385,1256
12/01/2025,07,10047,6854,715,3478,841,926,2446,163,1093,2760,1385,1256
12/01/2025,07,10078,6119,715,3488,813,926,2413,163,1093,2760,1385,1256
12/01/2025,07,9813,6114,715,3214,803,926,2413,163,1093,2760,1385,1256
12/01/2025,07,9767,6119,715,3214,803,926,2413,163,1093,2760,1385,1256
12/01/2025,07,9767,6079,715,3214,803,926,2404,163,1093,2760,1385,1256
12/01/2025,07,9767,6024,715,3214,803,926,2390,163,1093,2760,1385,1256
12/01/2025,07,9767,6016,715,3214,803,926,2371,163,1093,2760,1385,1256
12/01/2025,07,9707,5966,715,3204,803,926,2371,163,1093,2760,1385,1256
12/01/2025,08,9674,5762,664,3365,808,976,2205,163,1093,2760,1385,1256
12/01/2025,08,9674,5818,664,3365,808,976,2205,163,1093,2760,1385,1256
12/01/2025,08,9674,5818,664,3320,808,976,2205,163,1093,2760,1385,1256
12/01/2025,08,9674,5818,664,3365,808,976,2205,163,1093,2760,1385,1256
12/01/2025,08,9674,5818,664,3365,808,976,2196,163,1093,2760,1385,1256
12/01/2025,08,9842,5818,664,3365,808,976,2196,163,1093,2760,1385,1256
12/01/2025,08,9861,5866,664,3365,869,976,2205,163,1093,2760,1385,1256
12/01/2025,08,9861,5866,664,3365,869,976,2192,163,1093,2760,1385,1256
12/01/2025,08,9861,5866,664,3365,869,976,2205,163,1093,2760,1385,1256
12/01/2025,08,9861,5822,664,3639,869,976,2435,163,1093,2760,1385,1256
12/01/2025,08,9861,5822,664,3639,869,976,2435,163,1093,2760,1385,1256
12/01/2025,08,9861,5822,664,3639,869,976,2435,163,1083,2760,1385,1096
12/01/2025,08,9861,5866,715,3639,869,976,2437,163,1093,2760,1385,1256
12/01/2025,08,9861,5866,715,3639,869,976,2437,163,1093,2760,1385,1256
12/01/2025,08,9861,5974,715,3639,869,1102,2437,163,1093,2760,1385,1256
12/01/2025,08,9861,6764,715,3639,858,1102,2207,163,1093,2760,1385,1256
12/01/2025,08,10047,6764,715,3478,915,1102,2446,163,1093,2760,1385,1256
12/01/2025,08,10018,5974,715,3478,887,1102,2413,163,1093,2760,1385,1256
12/01/2025,08,9753,5974,715,3204,877,1102,2413,163,1093,2760,1385,1256
12/01/2025,08,9707,5974,715,3204,877,1102,2413,163,1093,2760,1385,1256
12/01/2025,08,9707,5974,715,3204,877,1102,2404,163,1093,2760,1385,1256
12/01/2025,08,9707,5974,715,3204,877,1102,2390,163,1093,2760,1385,1256
12/01/2025,08,9707,5966,715,3204,877,1102,2371,163,1093,2760,1385,1256
12/01/2025,08,9707,5966,715,3204,877,1102,2371,163,1093,2760,1385,1256
12/01/2025,09,9756,5762,664,3217,1130,1102,2179,163,1093,2760,1385,1256
12/01/2025,09,9756,5818,664,3217,1130,1102,2179,163,1093,2760,1385,1256
12/01/2025,09,9756,5818,664,3172,1130,1102,2179,163,1093,2760,1385,1256
12/01/2025,09,9756,5818,664,3217,1130,1102,2179,163,1093,2760,1385,1256
12/01/2025,09,9756,5818,664,3217,1130,1102,2170,163,1093,2760,1385,1256
12/01/2025,09,9924,5818,664,3217,1130,1102,2170,163,1093,2760,1385,1256
12/01/2025,09,9924,5966,664,3217,1130,1102,2179,163,1093,2760,1385,1256
12/01/2025,09,9924,5966,664,3217,1130,1102,2166,163,1093,2760,1385,1256
12/01/2025,09,9924,5966,664,3217,1130,1102,2179,163,1093,2760,1385,1256
12/01/2025,09,9924,5922,664,3491,1130,1102,2409,163,1093,2760,1385,1256
12/01/2025,09,9924,5922,664,3494,1130,1102,2409,163,1093,2760,1385,1256
12/01/2025,09,9924,5922,664,3494,1130,1102,2485,163,1083,2760,1385,1096
12/01/2025,09,9924,5966,715,3544,1130,1102,2487,163,1093,2760,1385,1256
12/01/2025,09,9924,5966,715,3544,1130,1102,2487,163,1093,2760,1385,1256
12/01/2025,09,9924,6074,715,3542,1130,1102,2487,163,1093,2760,1385,1256
12/01/2025,09,9861,6074,715,3642,1094,1102,2207,163,1093,2760,1385,1256
12/01/2025,09,9801,6074,715,3480,1277,1102,2446,163,1093,2760,1385,1256
12/01/2025,09,9772,6074,715,3480,1249,1102,2413,163,1093,2760,1385,1256
12/01/2025,09,9753,6074,715,3206,1239,1102,2413,163,1093,2760,1385,1256
12/01/2025,09,9707,6074,715,3206,1239,1102,2413,163,1093,2760,1385,1256
12/01/2025,09,9707,6074,715,3206,1239,1102,2404,163,1093,2760,1385,1256
12/01/2025,09,9707,6074,715,3206,1239,1102,2390,163,1093,2760,1385,1256
12/01/2025,09,9707,6066,715,3206,1239,1102,2371,163,1093,2760,1385,1256
12/01/2025,09,9707,6066,715,3206,1239,1102,2371,163,1093,2760,1385,1256
12/01/2025,10,9755,5762,664,3227,1130,1102,2242,163,1093,2760,1385,1256
12/01/2025,10,9755,5818,664,3227,1130,1102,2242,163,1093,2760,1385,1256
12/01/2025,10,9755,5818,664,3182,1130,1102,2242,163,1093,2760,1385,1256
12/01/2025,10,9755,5818,664,3227,1130,1102,2242,163,1093,2760,1385,1256
12/01/2025,10,9755,5818,664,3227,1130,1102,2233,163,1093,2760,1385,1256
12/01/2025,10,9923,5818,664,3227,1130,1102,2233,163,1093,2760,1385,1256
12/01/2025,10,9923,5966,664,3227,1130,1102,2242,163,1093,2760,1385,1256
12/01/2025,10,9923,5966,764,3305,1130,1102,2229,163,1093,2760,1385,1256
12/01/2025,10,9923,5966,764,3305,1130,1102,2242,163,1093,2760,1385,1256
12/01/2025,10,9923,5922,764,3579,1130,1102,2472,163,1093,2760,1385,1256
12/01/2025,10,9923,5922,764,3582,1130,1102,2472,163,1093,2760,1385,1256
12/01/2025,10,9923,5922,764,3582,1130,1102,2548,163,1083,2760,1385,1096
12/01/2025,10,9923,5966,815,3632,1130,1102,2550,163,1093,2760,1385,1256
12/01/2025,10,9923,5966,815,3632,1130,1102,2550,163,1093,2760,1385,1256
12/01/2025,10,9924,5966,815,3542,1130,1102,2538,163,1093,2760,1385,1256
12/01/2025,10,9861,5966,815,3642,1094,1102,2258,163,1093,2760,1385,1256
12/01/2025,10,9801,5966,815,3480,1277,1102,2497,163,1093,2760,1385,1256
12/01/2025,10,9772,5966,815,3480,1249,1102,2464,163,1093,2760,1385,1256
12/01/2025,10,9753,5966,815,3206,1239,1102,2464,163,1093,2760,1385,1256
12/01/2025,10,9707,5966,815,3206,1239,1102,2464,163,1093,2760,1385,1256
12/01/2025,10,9707,5966,815,3206,1239,1102,2455,163,1093,2760,1385,1256
12/01/2025,10,9707,5966,815,3206,1239,1102,2441,163,1093,2760,1385,1256
12/01/2025,10,9707,5958,815,3206,1239,1102,2422,163,1093,2760,1385,1256
12/01/2025,10,9707,5958,815,3206,1239,1102,2422,163,1093,2760,1385,1256
12/01/2025,11,9755,5862,664,3220,1149,1114,2231,163,1093,2760,1385,1256
12/01/2025,11,9755,5918,664,3220,1149,1114,2231,163,1093,2760,1385,1256
12/01/2025,11,9755,5918,664,3175,1149,1114,2231,163,1093,2760,1385,1256
12/01/2025,11,9755,5918,664,3220,1149,1114,2231,163,1093,2760,1385,1256
12/01/2025,11,9755,5918,664,3220,1149,1114,2222,163,1093,2760,1385,1256
12/01/2025,11,9923,5918,664,3220,1149,1114,2222,163,1093,2760,1385,1256
12/01/2025,11,9975,6066,664,3220,1149,1114,2231,163,1093,2760,1385,1256
12/01/2025,11,9975,6066,764,3220,1149,1114,2218,163,1093,2760,1385,1256
12/01/2025,11,9975,6066,764,3220,1149,1114,2231,163,1093,2760,1385,1256
12/01/2025,11,9975,6022,764,3494,1149,1114,2461,163,1093,2760,1385,1256
12/01/2025,11,9975,6022,764,3497,1149,1114,2461,163,1093,2760,1385,1256
12/01/2025,11,9975,6022,764,3497,1149,1114,2537,163,1083,2760,1385,1096
12/01/2025,11,9975,6066,815,3497,1149,1114,2539,163,1093,2760,1385,1256
12/01/2025,11,9923,6066,815,3632,1130,1102,2550,163,1093,2760,1385,1256
12/01/2025,11,9924,6066,815,3492,1130,1102,2538,163,1093,2760,1385,1256
12/01/2025,11,9861,6066,815,3642,1094,1102,2258,163,1093,2760,1385,1256
12/01/2025,11,9801,6066,815,3480,1277,1102,2497,163,1093,2760,1385,1256
12/01/2025,11,9772,6066,815,3480,1249,1102,2464,163,1093,2760,1385,1256
12/01/2025,11,9753,6066,815,3206,1239,1102,2464,163,1093,2760,1385,1256
12/01/2025,11,9707,6066,815,3206,1239,1102,2464,163,1093,2760,1385,1256
12/01/2025,11,9707,6066,815,3206,1239,1102,2455,163,1093,2760,1385,1256
12/01/2025,11,9707,6066,815,3206,1239,1102,2441,163,1093,2760,1385,1256
12/01/2025,11,9707,6058,815,3206,1239,1102,2422,163,1093,2760,1385,1256
12/01/2025,11,9707,6058,815,3206,1239,1102,2422,163,1093,2760,1385,1256
12/01/2025,12,9755,5923,664,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,12,9755,5979,664,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,12,9755,5979,664,3175,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,12,9755,5979,664,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,12,9755,5979,664,3220,1149,1114,2238,163,1093,2760,1385,1256
12/01/2025,12,9923,5979,664,3220,1149,1114,2238,163,1093,2760,1385,1256
12/01/2025,12,10069,6127,664,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,12,10069,6127,764,3220,1149,1114,2234,163,1093,2760,1385,1256
12/01/2025,12,10069,6212,764,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,12,10069,6168,764,3494,1149,1114,2477,163,1093,2760,1385,1256
12/01/2025,12,10069,6168,764,3497,1149,1114,2477,163,1093,2760,1385,1256
12/01/2025,12,10069,6168,764,3497,1149,1114,2553,163,1083,2760,1385,1096
12/01/2025,12,9975,6066,815,3497,1149,1114,2539,163,1093,2760,1385,1256
12/01/2025,12,9923,6066,815,3632,1130,1102,2550,163,1093,2760,1385,1256
12/01/2025,12,9924,6066,815,3492,1130,1102,2538,163,1093,2760,1385,1256
12/01/2025,12,9861,6066,815,3642,1094,1102,2258,163,1093,2760,1385,1256
12/01/2025,12,9801,6066,815,3480,1277,1102,2497,163,1093,2760,1385,1256
12/01/2025,12,9772,6066,815,3480,1249,1102,2464,163,1093,2760,1385,1256
12/01/2025,12,9753,6066,815,3206,1239,1102,2464,163,1093,2760,1385,1256
12/01/2025,12,9707,6066,815,3206,1239,1102,2464,163,1093,2760,1385,1256
12/01/2025,12,9707,6066,815,3206,1239,1102,2455,163,1093,2760,1385,1256
12/01/2025,12,9707,6066,815,3206,1239,1102,2441,163,1093,2760,1385,1256
12/01/2025,12,9707,6058,815,3206,1239,1102,2422,163,1093,2760,1385,1256
12/01/2025,12,9707,6058,815,3206,1239,1102,2422,163,1093,2760,1385,1256
12/01/2025,13,9745,5928,662,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,13,9745,5984,662,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,13,9745,5984,662,3175,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,13,9745,5984,662,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,13,9745,6002,662,3220,1149,1114,2238,163,1093,2760,1385,1256
12/01/2025,13,9913,6002,662,3220,1149,1114,2238,163,1093,2760,1385,1256
12/01/2025,13,10059,6150,662,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,13,10059,6150,762,3220,1149,1114,2234,163,1093,2760,1385,1256
12/01/2025,13,10059,6335,762,3220,1149,1114,2247,163,1093,2760,1385,1256
12/01/2025,13,10059,6291,762,3494,1149,1114,2477,163,1093,2760,1385,1256
12/01/2025,13,10059,6273,762,3497,1149,1114,2477,163,1093,2760,1385,1256
12/01/2025,13,10069,6168,764,3497,1149,1114,2553,163,1083,2760,1385,1096
12/01/2025,13,9975,6022,764,3073,1149,1114,2537,163,960,2760,1375,1096
